task,seed,completed,verdict,success_rate,duration_seconds,total_steps,final_reward,final_ep_len
balance,seed00,True,,,423679.38308906555,8000000.0,-18.8337,80.0
balance,seed01,False,,,362791.50980615616,8000000.0,,
balance,seed02,False,,,25240.488173246384,8000000.0,,
balance_v1,seed00,False,,,,,0.9969,1.0
balance_v1,seed01,False,,,,,-73.4874,1000.0
balance_v1,seed02,False,,,,,16.8542,1000.0
full_chain,seed00,True,,,80041.59928178787,,-9.4164,12.0
full_chain,seed01,False,,,19153.72599887848,,,
full_chain,seed02,False,,,19153.72599887848,,,
full_chain_v1,seed00,False,,,,,-9.5776,12.0
traverse,seed00,False,,,343541.1870126724,8000000.0,67.3659,240.0
traverse,seed01,True,fail,,334592.6137354374,8000000.0,66.8081,138.6
traverse_curve,seed00,True,fail,,80008.43915605545,,133.547,158.2
traverse_curve,seed01,False,,,19120.565873146057,,,
traverse_curve,seed02,False,,,19120.565873146057,,,
traverse_curve_v1,seed00,True,,,,,-0.1642,301.0
traverse_flat_slope,seed00,False,,,80041.59928178787,4000000.0,1.2598,824.0
traverse_flat_slope,seed01,False,,,19153.72599887848,,,
traverse_flat_slope,seed02,False,,,19153.72599887848,,,
traverse_slope,seed00,True,,,80041.59928178787,4000000.0,-1.0171,1046.4
traverse_slope,seed01,False,,,19120.565873146057,,,
traverse_slope,seed02,False,,,19120.565873146057,,,
traverse_v1,seed00,False,,,,,67.3659,240.0
traverse_v1,seed01,True,,,,,66.8081,138.6
traverse_v1,seed02,True,,,,,133.0854,187.0
