task,seed,step,ep_rew_mean,ep_len_mean,std,value_loss,approx_kl,explained_variance,learning_rate,n_updates
balance,seed00,4096,39.61724090576172,1000.0,,,,,,
balance,seed00,8192,31.621660232543945,911.75,0.9766470193862915,0.08716095983982086,0.009977097623050213,-4.195653915405273,0.0003000000142492354,
balance,seed00,12288,35.585235595703125,941.1666870117188,0.9698169231414795,0.5810240507125854,0.01004885509610176,-0.01907050609588623,0.0003000000142492354,
balance,seed00,16384,38.24602508544922,955.875,0.9389642477035522,0.06963468343019485,0.011009193025529385,-0.8941903114318848,0.0003000000142492354,
balance,seed00,20480,38.03620910644531,937.2857055664062,0.9054710268974304,0.05730762332677841,0.012707828544080257,0.08046352863311768,0.0003000000142492354,
balance,seed00,24576,40.18288803100586,947.3200073242188,0.8985140919685364,0.24974052608013153,0.010207840241491795,0.33013880252838135,0.0003000000142492354,
balance,seed00,28672,42.1214599609375,954.586181640625,0.87786865234375,0.055202919989824295,0.011905434541404247,0.3246876001358032,0.0003000000142492354,
balance,seed00,32768,43.87770462036133,960.0908813476562,0.8450299501419067,0.036991946399211884,0.01325903832912445,-0.1760718822479248,0.0003000000142492354,
balance,seed00,36864,45.70132064819336,964.4053955078125,0.8182557821273804,0.031839869916439056,0.01100978348404169,0.5365405082702637,0.0003000000142492354,
balance,seed00,40960,47.34858322143555,967.8780517578125,0.7922660708427429,0.02599838748574257,0.012921745888888836,-0.8095154762268066,0.0003000000142492354,
balance,seed00,45056,48.98757553100586,970.7333374023438,0.7680141925811768,0.025929393246769905,0.014186064712703228,-0.5621328353881836,0.0003000000142492354,
balance,seed00,49152,48.400333404541016,954.6199951171875,0.7430543303489685,0.022306686267256737,0.01263835746794939,0.28502094745635986,0.0003000000142492354,
balance,seed00,53248,49.32037353515625,953.036376953125,0.7405192255973816,0.6196429133415222,0.00932176224887371,0.48117899894714355,0.0003000000142492354,
balance,seed00,57344,50.611602783203125,956.2203369140625,0.7372498512268066,0.08431484550237656,0.010869800113141537,0.8808071613311768,0.0003000000142492354,
balance,seed00,61440,50.70827102661133,948.7142944335938,0.7146480083465576,0.0336444154381752,0.012922294437885284,0.4848100543022156,0.0003000000142492354,
balance,seed00,65536,52.03296661376953,952.4852905273438,0.7097738981246948,0.5001125335693359,0.023033272475004196,0.13564252853393555,0.0003000000142492354,
balance,seed00,69632,52.981407165527344,955.125,0.700049638748169,0.03796682134270668,0.012375390157103539,0.8516944646835327,0.0003000000142492354,
balance,seed00,73728,53.9063606262207,957.48681640625,0.6818192005157471,0.017926162108778954,0.010112617164850235,0.9693554043769836,0.0003000000142492354,
balance,seed00,77824,54.75764083862305,959.6124877929688,0.6605936288833618,0.02643170766532421,0.013063771650195122,0.7897284030914307,0.0003000000142492354,
balance,seed00,81920,55.58992004394531,961.5357055664062,0.6408202648162842,0.014652167446911335,0.015217360109090805,0.8607574701309204,0.0003000000142492354,
balance,seed00,86016,56.380096435546875,963.2841186523438,0.6176914572715759,0.011066064238548279,0.012349998578429222,0.3415747880935669,0.0003000000142492354,
balance,seed00,90112,57.3079948425293,965.258056640625,0.5968232154846191,0.011266110464930534,0.012349333614110947,0.26922571659088135,0.0003000000142492354,
balance,seed00,94208,57.996334075927734,966.6907348632812,0.5780424475669861,0.007941667921841145,0.011849533766508102,0.6879732608795166,0.0003000000142492354,
balance,seed00,98304,58.790924072265625,967.6900024414062,0.5599517226219177,0.008015204221010208,0.011858447454869747,0.8593963384628296,0.0003000000142492354,
balance,seed00,102400,60.49627685546875,974.75,0.549316942691803,0.008493691682815552,0.01356073934584856,0.967026948928833,0.0003000000142492354,
balance,seed00,106496,62.07864761352539,1000.0,0.4889213442802429,0.010702641680836678,0.015599222853779793,0.831781268119812,0.0003000000142492354,
balance,seed00,114688,65.30491638183594,1000.0,0.463598370552063,0.009215590544044971,0.015033239498734474,0.9329961538314819,0.0003000000142492354,
balance,seed00,122880,68.3208999633789,1000.0,0.43593600392341614,0.007401661481708288,0.01759766973555088,0.5578995943069458,0.0003000000142492354,
balance,seed00,131072,70.96926879882812,1000.0,0.41030922532081604,0.005852102302014828,0.016379401087760925,-0.25711262226104736,0.0003000000142492354,
balance,seed00,139264,73.34199523925781,1000.0,0.3856302499771118,0.005015029571950436,0.017509328201413155,0.09540903568267822,0.0003000000142492354,
balance,seed00,147456,75.46534729003906,1000.0,0.3632042407989502,0.004986861255019903,0.017263401299715042,0.1805034875869751,0.0003000000142492354,
balance,seed00,155648,77.43856811523438,1000.0,0.3407707214355469,0.0035114334896206856,0.018173331394791603,0.4288522005081177,0.0003000000142492354,
balance,seed00,163840,79.1326904296875,1000.0,0.3204018175601959,0.0033116957638412714,0.018518337979912758,0.5936568975448608,0.0003000000142492354,
balance,seed00,172032,81.47378540039062,1000.0,0.30237680673599243,0.0030054545495659113,0.020273037254810333,0.6912766695022583,0.0003000000142492354,
balance,seed00,180224,82.8508071899414,1000.0,0.28428101539611816,0.002427081810310483,0.020333224907517433,0.7691569924354553,0.0003000000142492354,
balance,seed00,188416,84.14993286132812,1000.0,0.2674586772918701,0.002019995590671897,0.020227521657943726,0.6120210289955139,0.0003000000142492354,
balance,seed00,196608,85.3974838256836,1000.0,0.2531448006629944,0.0017849102150648832,0.01794319972395897,0.6528488397598267,0.0003000000142492354,
balance,seed00,204800,86.5455551147461,1000.0,0.2384352684020996,0.001445047790184617,0.01936044730246067,0.754197359085083,0.0003000000142492354,
balance,seed00,212992,87.67060089111328,1000.0,0.2255437970161438,0.0014363876543939114,0.018907755613327026,0.8226183652877808,0.0003000000142492354,
balance,seed00,221184,88.71062469482422,1000.0,0.21310488879680634,0.0012657174374908209,0.01990850456058979,0.13326603174209595,0.0003000000142492354,
balance,seed00,229376,89.69554138183594,1000.0,0.20148023962974548,0.0011124968295916915,0.020455138757824898,-0.008678078651428223,0.0003000000142492354,
balance,seed00,237568,90.61557006835938,1000.0,0.19030916690826416,0.0009622233919799328,0.01904444955289364,0.07460188865661621,0.0003000000142492354,
balance,seed00,245760,91.4655532836914,1000.0,0.17943349480628967,0.0009157833410426974,0.019473012536764145,0.1418744921684265,0.0003000000142492354,
balance,seed00,253952,92.2691879272461,1000.0,0.16882450878620148,0.0005212464020587504,0.019324451684951782,0.18270611763000488,0.0003000000142492354,
balance,seed00,262144,93.0357437133789,1000.0,0.15914595127105713,0.0005633448017761111,0.019815992563962936,0.3775903582572937,0.0003000000142492354,
balance,seed00,270336,93.72195434570312,1000.0,0.15047332644462585,0.00035653161467052996,0.019805967807769775,0.48153406381607056,0.0003000000142492354,
balance,seed00,278528,94.352294921875,1000.0,0.14187021553516388,0.0005901656113564968,0.018744248896837234,0.5909833908081055,0.0003000000142492354,
balance,seed00,286720,94.94223022460938,1000.0,0.13414216041564941,0.0007373085827566683,0.020809629932045937,0.23628485202789307,0.0003000000142492354,
balance,seed00,294912,95.47024536132812,1000.0,0.12694688141345978,0.0007648139726370573,0.019292417913675308,0.22721558809280396,0.0003000000142492354,
balance,seed00,303104,95.9612045288086,1000.0,0.11929632723331451,0.00044661969877779484,0.020752597600221634,0.08882218599319458,0.0003000000142492354,
balance,seed00,311296,96.38632202148438,1000.0,0.11315667629241943,0.0004713593516498804,0.022661156952381134,0.6674564480781555,0.0003000000142492354,
balance,seed00,319488,96.7647476196289,1000.0,0.10654909908771515,0.000164076715009287,0.016746576875448227,0.34824609756469727,0.0003000000142492354,
balance,seed00,327680,97.1170883178711,1000.0,0.10120217502117157,0.0009889319771900773,0.01986014097929001,0.533298134803772,0.0003000000142492354,
balance,seed00,335872,97.42054748535156,1000.0,0.0955962985754013,0.00010331496014259756,0.019135691225528717,0.38292545080184937,0.0003000000142492354,
balance,seed00,344064,97.82662963867188,1000.0,0.09007304161787033,0.0002731839776970446,0.01749025657773018,0.438920795917511,0.0003000000142492354,
balance,seed00,352256,98.0532455444336,1000.0,0.08583948016166687,0.00011555390665307641,0.014603285118937492,0.5296822786331177,0.0003000000142492354,
balance,seed00,360448,98.25542449951172,1000.0,0.0813901498913765,0.00024023019068408757,0.017852038145065308,0.43819040060043335,0.0003000000142492354,
balance,seed00,368640,98.4416732788086,1000.0,0.0773547813296318,0.00155396678019315,0.021329492330551147,0.7568027973175049,0.0003000000142492354,
balance,seed00,376832,98.60743713378906,1000.0,0.07338058948516846,4.517234265222214e-05,0.01671743392944336,0.7507506608963013,0.0003000000142492354,
balance,seed00,385024,98.75257873535156,1000.0,0.07010383903980255,0.00011548829934326932,0.017232023179531097,0.7698533535003662,0.0003000000142492354,
