level,factor,trigger_count,n_pass,n_fail,n_unknown,hit_rate,false_kill_count,false_kill_rate,potential_false_kill_rate,avg_saved_minutes_fail,avg_saved_minutes_all,expected_net_saving_minutes,saved_yuan_compute_estimate,t_end_method_dist
R2,approx_kl,4,0,4,0,1.0,0,N/A (no pass samples),0.0,4874.7,4874.7,4874.7,203.11,actual:4
R2,cpu,5,0,5,0,1.0,0,N/A (no pass samples),0.0,4840.6,4840.6,4840.6,201.69,actual:5
R2,drawdown,5,0,5,0,1.0,0,N/A (no pass samples),0.0,4840.6,4840.6,4840.6,201.69,actual:5
R2,early_low_reward,9,0,8,1,1.0,0,N/A (no pass samples),0.0,1939.1,1723.6,1939.1,71.82,no_snapshot:6;actual:3
R2,neg_ratio,3,0,3,0,1.0,0,N/A (no pass samples),0.0,4907.6,4907.6,4907.6,204.48,actual:3
R2,neg_ratio_current,3,0,3,0,1.0,0,N/A (no pass samples),0.0,4907.6,4907.6,4907.6,204.48,actual:3
R2,stagnation,1,0,1,0,1.0,0,N/A (no pass samples),0.0,5494.3,5494.3,5494.3,228.93,actual:1
R2,stall,5,0,5,0,1.0,0,N/A (no pass samples),0.0,4840.6,4840.6,4840.6,201.69,actual:5
R2,std,1,0,1,0,1.0,0,N/A (no pass samples),0.0,4704.3,4704.3,4704.3,196.01,actual:1
R2,std_reward_collapse,1,0,1,0,1.0,0,N/A (no pass samples),0.0,4704.3,4704.3,4704.3,196.01,actual:1
R3,cpu,2,0,1,1,1.0,0,N/A (no pass samples),0.0,5611.6,520648.6,5611.6,21693.69,actual:1;step_rate:1
R3,drawdown,1,0,1,0,1.0,0,N/A (no pass samples),0.0,5611.6,5611.6,5611.6,233.82,actual:1
R3,kl_divergent,1,0,1,0,1.0,0,N/A (no pass samples),0.0,5611.6,5611.6,5611.6,233.82,actual:1
R3,neg_ratio,1,0,1,0,1.0,0,N/A (no pass samples),0.0,5611.6,5611.6,5611.6,233.82,actual:1
R3,restart,2,0,1,1,1.0,0,N/A (no pass samples),0.0,5611.6,520648.6,5611.6,21693.69,actual:1;step_rate:1
R3,stall,2,0,1,1,1.0,0,N/A (no pass samples),0.0,5611.6,520648.6,5611.6,21693.69,actual:1;step_rate:1
R3,std,1,0,1,0,1.0,0,N/A (no pass samples),0.0,5611.6,5611.6,5611.6,233.82,actual:1
